Country,Year,CO2_emissions
World,2000,3.951660425
World,2001,3.958088692
World,2002,3.961470273
World,2003,4.090081614
World,2004,4.223794234
World,2005,4.329790027
World,2006,4.417134594
World,2007,4.528275107
World,2008,4.503795413
World,2009,4.391450538
World,2010,4.604869382
World,2011,4.68946885
World,2012,4.685377082
World,2013,4.719665779
World,2014,4.682408225
World,2015,4.601683731
World,2016,4.558579231
World,2017,4.57838089
World,2018,4.642145296
World,2019,4.582572771
World,2020,4.292269191
